org_id,name,country,focus,size,grants,url,sugar_sugar_relevance,status,notes
bt1d-uk,Breakthrough T1D UK,UK,Type 1,Large,Yes - research,https://www.breakthrought1d.org.uk/,Strong CGM advocacy partner; could recruit UK T1D users,uncontacted,
bt1d-nl,Breakthrough T1D Netherlands,Netherlands,Type 1,Medium,Yes - research,https://www.breakthrought1d.nl/,Active Dutch T1D community; NL has high CGM adoption,uncontacted,
fid-italy,Fondazione Italiana Diabete ETS,Italy,Type 1,Medium,Yes - competitive,https://fondazionediabete.org/,Pushed Italy national T1D screening law; strong community engagement,uncontacted,
sugar-palace,Sugar Palace Paris,France,Type 1,Small,No,https://sugarpalaceparis.com/,Community-driven; could help recruit French T1D CGM users,uncontacted,
danii,Danii Foundation,Australia,Type 1,Small-Med,No (tech access),https://www.daniifoundation.org.au/,Directly focused on CGM access - natural fit for Sugar-Sugar partnership,uncontacted,
diabetes-uk,Diabetes UK,UK,All types,Very Large,Yes - research,https://www.diabetes.org.uk/,Huge patient base; could co-promote Sugar-Sugar to UK participants,uncontacted,
diabetesde,diabetesDE - Deutsche Diabetes-Hilfe,Germany,All types,Large,No (advocacy),https://www.diabetesde.org/,Co-publishes annual German Health Report Diabetes; Anton is DE-based - local partner,uncontacted,
ddg,Deutsche Diabetes Gesellschaft (DDG),Germany,All types,Very Large,Yes - research,https://www.ddg.info/,Professional society; congresses in Berlin - present Sugar-Sugar?,uncontacted,
diabetes-ch,Diabetes Schweiz,Switzerland,All types,Medium,Yes - research,https://www.diabetesschweiz.ch/,Swiss quality standards; potential recruitment channel,uncontacted,
oedg,OeDG (Austrian Diabetes Society),Austria,All types,Medium,Yes - research,https://www.oedg.org/,German-speaking region synergy with DDG,uncontacted,
diabetes-fi,Finnish Diabetes Association,Finland,All types,Large,Yes - research,https://www.diabetes.fi/,Finland has excellent health data infrastructure,uncontacted,
diabetes-se,Swedish Diabetes Association,Sweden,All types,Large,Yes - research,https://www.diabetes.se/,Sweden has high CGM/pump adoption; ideal Sugar-Sugar recruitment,uncontacted,
diabetes-dk,Diabetesforeningen (Denmark),Denmark,All types,Large,Yes - research,https://www.diabetes.dk/,Novo Nordisk homeland; strong diabetes tech ecosystem,uncontacted,
diabetes-no,Diabetesforbundet (Norway),Norway,All types,Medium-Large,Yes,https://www.diabetes.no/,Nordic cooperation potential,uncontacted,
fede-spain,FEDE (Spain),Spain,All types,Large,No (advocacy),https://www.fedesp.es/,Large Spanish-speaking patient base; Sugar-Sugar multi-language fit,uncontacted,
diabetes-be,Belgian Diabetes Association,Belgium,All types,Medium,Yes - research,https://www.diabete.be/,Brussels-based like IDF; French/Dutch bilingual,uncontacted,
diabetes-pl,Polish Diabetes Association,Poland,All types,Large,No (advocacy),https://www.diabetyk.org.pl/,Growing CGM adoption in Poland,uncontacted,
