group_id,name,url,category,relevance,language,size,self_promo_rule,status,notes
148759002541118,BIOHACKING,https://www.facebook.com/groups/148759002541118/,biohacking,A,,,,promoted,in destinations.csv as on-hold
769326966539324,Biohacking and Genetic Design Network,https://www.facebook.com/groups/769326966539324/,biohacking,A,,,,promoted,in destinations.csv as on-hold
1631847790186695,Biohacking in Romania,https://www.facebook.com/groups/1631847790186695/,biohacking,A,,,,promoted,in destinations.csv as on-hold
161300983894992,DIYbio,https://www.facebook.com/groups/161300983894992/,biohacking,A,,,,promoted,in destinations.csv as on-hold
179279708942182,SyntechBio - BioHacking Network,https://www.facebook.com/groups/179279708942182/,biohacking,A,,,,promoted,in destinations.csv as on-hold
846042358746622,Genetic Engineering & Gene Therapy,https://www.facebook.com/groups/846042358746622/,genetics-biotech,A,,,,promoted,in destinations.csv as on-hold
2818894318368230,"Genetics, Genomics & Bioinformatics Insights",https://www.facebook.com/groups/2818894318368230/,genetics-biotech,A,,,,promoted,in destinations.csv as on-hold
207531925428,The Genetics Society,https://www.facebook.com/groups/207531925428/,genetics-biotech,A,,,,promoted,in destinations.csv as on-hold
4410586435,Ending aging: the SENS approach,https://www.facebook.com/groups/4410586435/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
39410619646,Heales: Healthy life extension society,https://www.facebook.com/groups/39410619646/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
267194926671863,Health Extension,https://www.facebook.com/groups/267194926671863/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
486615501349101,ILA: Longevity Activists,https://www.facebook.com/groups/486615501349101/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
243583562427734,Indefinite Life Extension,https://www.facebook.com/groups/243583562427734/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
429252437161582,International Longevity Alliance,https://www.facebook.com/groups/429252437161582/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
791173197576738,Latest Aging Research Updates,https://www.facebook.com/groups/791173197576738/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
492952560886319,Life Extension,https://www.facebook.com/groups/492952560886319/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
443622822350019,Longevity Art,https://www.facebook.com/groups/443622822350019/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
539552309414937,Longevity Day,https://www.facebook.com/groups/539552309414937/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
389137767824588,Longevity Ukraine,https://www.facebook.com/groups/389137767824588/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
1140093372724424,Open Lifespan Institute,https://www.facebook.com/groups/1140093372724424/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
483138891888558,Rejuvenation Science News (RSN),https://www.facebook.com/groups/483138891888558/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
2578160535743480,Senescent Cell Research Group,https://www.facebook.com/groups/2578160535743480/,longevity-aging,A,,,,promoted,in destinations.csv as on-hold
