group_id,name,url,category,relevance,member,size,visibility,post_approval,activity_observed,self_promo_rule,status,notes
37645,h+ Community,https://www.linkedin.com/groups/37645/,transhumanism,A,yes,1162,Private Listed,no,newest post 1mo then 2mo then 4mo (2026-08-11),No published rules and no pinned rule post. First send 2026-08-11 went through with no admin queue,promoted,POSTED 2026-08-11 (shr-0002). The only genuine H+ room on LinkedIn. Anton member since Sep 2009. Slow but exactly on-topic: description names NBIC longevity performance enhancement and self-modification
4893704,International Longevity Alliance,https://www.linkedin.com/groups/4893704/,longevity,A,yes,1152,Private Listed,no,10 most recent span 1w to 2mo (2026-08-11),UNVERIFIED - no published group rules,promoted,Warm room. Anton is a long-standing member of the ILA network offline too
6505955,Genetics and Genomics,https://www.linkedin.com/groups/6505955/,genomics,A,yes,106226,Private Listed,no,LinkedIn Active Group badge (2026-08-11),"QUOTED admin pin: aimed at professionals in these fields to network and share research. It is not the place to post spam! Doing so will get you blocked and your post deleted. Please feel free to share relevant articles, peer-reviewed papers, webinars, events, call for papers",promoted,Largest on-topic room Anton is already in. The pin explicitly welcomes articles and papers - lead with the knowledgebase and the DOI-linked references never the game
3687574,Human Genetics,https://www.linkedin.com/groups/3687574/,genomics,A,yes,11072,Private Listed,no,newest 12h then 1d then 3w (2026-08-11),UNVERIFIED - no published group rules; admin pins link posts,promoted,Genuinely active daily. Admin Prof. Swarkar Sharma posts links regularly so a link post is normal here
9032464,AI and Genetics,https://www.linkedin.com/groups/9032464/,genomics,A,yes,2247,Private Listed,no,10 most recent span 2w to 1mo (2026-08-11),UNVERIFIED - no published group rules,promoted,Ask GPT / Ask Claude buttons on gene pages are the natural hook for this room
141113,Genetic Epidemiology and Statistical Genetics,https://www.linkedin.com/groups/141113/,genomics,B,yes,5824,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Methodology-heavy audience. Evidence-ladder angle only
12276232,Consumer/Personal/Direct-to-Consumer (DTC) Genomics/Genetics,https://www.linkedin.com/groups/12276232/,genomics,B,yes,322,unknown,no,not sampled,UNVERIFIED,uncontacted,Small. DTC genetics overlaps with CGM-as-consumer-genomics angle
1023027,Bioinformatics and Computational Biology,https://www.linkedin.com/groups/1023027/,bioinformatics,B,yes,81225,Public group,YES,10 most recent span 3w to 9mo (2026-08-11),UNVERIFIED - no published group rules,uncontacted,Slow cadence but real comment threads. Posts go to an admin queue - allow days
926817,Bioinformatics & Computational Biology (B&CB),https://www.linkedin.com/groups/926817/,bioinformatics,B,yes,218385,Public group,YES,newest 1h (2026-08-11),UNVERIFIED - no published group rules,uncontacted,LinkedIn Active Group badge and the largest room available but the visible feed is mostly market-research brochures. High volume low signal. Admin queue
122465,Personalized Medicine,https://www.linkedin.com/groups/122465/,clinical,B,yes,14785,unknown,no,not sampled,UNVERIFIED,uncontacted,Fits the 751 registered clinical trials angle
3679164,Singularity Network,https://www.linkedin.com/groups/3679164/,transhumanism,B,yes,1199,Private Group,no,not sampled,UNVERIFIED,uncontacted,Description names transhumanism biotechnology and anti-aging. Second-best H+ adjacent room after h+ Community
1874029,Singularity University,https://www.linkedin.com/groups/1874029/,transhumanism,B,yes,14907,unknown,YES,not sampled,UNVERIFIED,uncontacted,Alumni-flavoured. Admin queue
134332,"AI, Artificial Intelligence in Healthcare, Life Sciences, Medical and Pharmaceutical Innovation",https://www.linkedin.com/groups/134332/,clinical,C,yes,14614,unknown,no,not sampled,UNVERIFIED,uncontacted,Only if leading with the AI assistant integration
13521850,"Organoids, 3D cell culture & PDX models",https://www.linkedin.com/groups/13521850/,bioinformatics,C,yes,1069,unknown,no,not sampled,UNVERIFIED,uncontacted,Adjacent. Cell-line evidence tier is the only real overlap
3285957,RNA-Seq,https://www.linkedin.com/groups/3285957/,bioinformatics,C,yes,4559,unknown,YES,not sampled,UNVERIFIED,uncontacted,Adjacent only
4351032,Biochemical Society,https://www.linkedin.com/groups/4351032/,bioinformatics,C,yes,2299,unknown,YES,not sampled,UNVERIFIED,uncontacted,Society group - likely tight moderation
12964136,Building a Better Future with Beneficial AGI,https://www.linkedin.com/groups/12964136/,transhumanism,C,yes,383,unknown,no,not sampled,UNVERIFIED,uncontacted,AGI-focused not bio. Comment-only territory
2105081,"Clinical Research Network: Pharmaceutical, Healthcare, Biotech, Medical Trials, Recruitment & Jobs",https://www.linkedin.com/groups/2105081/,clinical,C,yes,84599,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Large but recruitment-dominated
8844165,SingularityU Bucharest Chapter,https://www.linkedin.com/groups/8844165/,transhumanism,C,yes,88,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Romanian track
12845008,Zuzalu 2023,https://www.linkedin.com/groups/12845008/,longevity,C,yes,85,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Dormant network-state / longevity crowd
4500301,Global Singularity Network - The Fourth Industrial Revolution !,https://www.linkedin.com/groups/4500301/,transhumanism,C,yes,419,unknown,unknown,not sampled,UNVERIFIED,uncontacted,Low signal
770967,Human Longevity and Aging Research,https://www.linkedin.com/groups/770967/,longevity,A,join request sent 2026-08-11,4073,unknown,no,not visible to non-members,UNVERIFIED,promoted,JOIN REQUEST PENDING since 2026-08-11. Best non-member longevity room. Research register not supplement register
12069297,Longevity.International,https://www.linkedin.com/groups/12069297/,longevity,B,NO - join first,2202,unknown,no,not visible to non-members,UNVERIFIED,uncontacted,
5180384,Precision Medicine & Digital Health,https://www.linkedin.com/groups/5180384/,clinical,B,NO - join first,24533,unknown,no,not visible to non-members,UNVERIFIED,uncontacted,Large. Clinical-trials and marketed-therapy angle
14519298,Transhumanism / Posthumanism / Philosophy / Human Augmentation,https://www.linkedin.com/groups/14519298/,transhumanism,B,NO - join first,348,unknown,no,not visible to non-members,UNVERIFIED,uncontacted,Second-largest explicitly transhumanist room on LinkedIn after h+ Community. That is how thin this vertical is here
14449269,Biohacking / Biohackers / Longevity / Healthspan / Nootropics,https://www.linkedin.com/groups/14449269/,longevity,B,NO - join first,568,unknown,no,not visible to non-members,UNVERIFIED,uncontacted,Biohacking register - lead with the CGM prediction game and metabolic health angle
2357094,Augmented Human,https://www.linkedin.com/groups/2357094/,transhumanism,C,NO - join first,260,unknown,YES,not visible to non-members,UNVERIFIED,uncontacted,
8727008,Transhumanism,https://www.linkedin.com/groups/8727008/,transhumanism,C,NO - join first,120,unknown,no,not visible to non-members,UNVERIFIED,uncontacted,
