media_id,name,channel,handle_or_url,language,audience,audience_source,category,relevance,bio_or_focus,suggested_ask,status,notes
tt-mary-type1,Mary,tiktok,https://www.tiktok.com/@mary.type1,en,474.1K,verified on the platform 2026-08-27,creator,A,"Public bio: ""type 1 diabetic / teacher"". T1D lifestyle content",Ask her to play a round and post her own accuracy score. The share card is built for exactly this,uncontacted,"Handle and follower count verified on TikTok 2026-08-27. A teacher audience is adult and the ""can you beat the algorithm"" framing suits short video"
tt-thet1dmama,Samara | The T1D Mama,tiktok,https://www.tiktok.com/@thet1dmama,en,3M,verified on the platform 2026-08-27,creator,B,"Public bio: ""Solo Parenting Myself & My 4 Kids / T1D Mom, ADHD-ASD Mom / Health is Wealth / N. California""","Referral rather than recruitment - her audience skews parents of minors, and the study is 18+. Ask her to point adults with CGMs at it",uncontacted,Handle and 3M followers verified on TikTok 2026-08-27
tt-thecordlefamily,Hunter & Devin,tiktok,https://www.tiktok.com/@thecordlefamily,en,5M,verified on the platform 2026-08-27,creator,C,"Public bio says ""We love Jesus"" and gives a management contact - it does NOT describe diabetes content",Do not approach on a diabetes premise until someone watches the actual videos,uncontacted,Listed by Feedspot as a top diabetes TikTok creator; the bio verified on 2026-08-27 does not support that. Largest account on the list and the least confirmed - a good reminder that Feedspot rankings are not evidence
tt-jaseydoria,Jasey Doria,tiktok,https://www.tiktok.com/@jaseydoria,en,401.1K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,Listed as T1D content,Play-and-share ask,uncontacted,
tt-abbey-darby,Abbey Karnes,tiktok,https://www.tiktok.com/@abbey.n.darby,en,2.1M,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,Listed as diabetes content,Play-and-share ask,uncontacted,Verify the account is actually diabetes-focused before contact
tt-clintonsvatos,Clint Svatos,tiktok,https://www.tiktok.com/@clintonsvatos,en,1.5M,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,Listed as T1D lifestyle,Play-and-share ask,uncontacted,
tt-liv-violette,Oliv Violette,tiktok,https://www.tiktok.com/@liv_violette,en,65.9K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,A,Listed as women in sports and T1D,Exercise is where next-hour prediction matters most - ask for a round played before a workout,uncontacted,Sport framing is the sharpest hook for the prediction task: deciding whether to eat before training is the real-world version of the game
tt-lauren-bongiorno,Lauren Bongiorno,tiktok,https://www.tiktok.com/@lauren_bongiorno,en,25.9K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,A,Diabetes coaching; also hosts the Reclaim Your Rise podcast,Cross-channel: TikTok clip plus a podcast episode on the human-baseline question,uncontacted,"Appears on both the TikTok and the podcast list - one contact, two channels"
tt-diabetes-nutritionist,Mary Ellen Phipps,tiktok,https://www.tiktok.com/@diabetesnutritionist,en,unclear,"Feedspot list, Aug 2026 - UNVERIFIED",creator,C,"Registered dietitian, diabetes nutrition",Dietitian-audience share,uncontacted,"Feedspot reports 26 followers, which is almost certainly wrong or a secondary account - verify before contact"
tt-ftfwarrior,Matt Vande Vegte,tiktok,https://www.tiktok.com/@ftfwarrior,en,15.8K,"Feedspot list, Aug 2026 - UNVERIFIED",creator,B,T1D fitness coaching,"Exercise-framing ask, same as liv_violette",uncontacted,
