chat_id,name,username_or_url,chat_type,category,relevance,member,size,last_activity,language,writable,linked_chat_id,linked_chat_name,self_promo_rule,prior_enhancement_post,status,notes,checked_at
-1001172489926,Мониторинг сахара - решение проблем,https://t.me/xdrip_dexcom_libre,Supergroup,cgm,A,NO - join first,17194,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"THE CGM room in this account cluster: xDrip, Dexcom and Libre troubleshooting - exactly the three data formats Sugar-Sugar ingests. Largest diabetes-related Telegram room found anywhere. Its description is the hub that links the rest of this cluster (Ukrainian and Russian T1D, Loop, OpenAPS, AndroidAPS, pumps, kids).",2026-08-27
-1001119352228,Diabet,https://t.me/diabet_help,Supergroup,diabetes,A,yes,12282,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"Anton is already a member. News-and-innovation framing in its own description, which is the register a study announcement fits. Everything the admins want read is in the pinned messages - read those first. Admin contact is in the description.",2026-08-27
-1001670249010,dia.trio | Все секреты компенсации диабета,https://t.me/dia_trio29,Supergroup,diabetes,A,yes,9197,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"Anton is already a member, and it is the most active room in the cluster by a wide margin. Self-described as focused on staying in target range 100% of the time - time-in-range is precisely what the study measures people predicting.",2026-08-27
-1001352312946,AndroidApsGroup,https://t.me/androidapsgroup,Supergroup,cgm,A,NO - join first,8609,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"DIY closed-loop (AndroidAPS) users - the most technically literate CGM audience in Russian. Same crowd as the Nightscout and Loop rooms already in destinations.csv. They read code, so the open-source repo is the lead, not the game.",2026-08-27
-1001303948877,ДІАбетики 1 типу Україна,https://t.me/Diabet_Ukraine,Supergroup,diabetes,A,yes,5244,,uk,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"Anton is already a member. The main Ukrainian-language T1D room, and Sugar-Sugar has a Ukrainian UI. Its description is the index to the Ukrainian side of the cluster (goods, Loop, AndroidAPS, monitoring, T2D).",2026-08-27
-1001806718799,Инсулиновые помпы,https://t.me/insulin_pumps,Supergroup,cgm,A,NO - join first,4741,,ru,yes,,,"QUOTED from the group description: joining requires passing a verification step, with the details in a pinned post",no,uncontacted,"Insulin-pump users, who almost all run a CGM alongside. The join gate means budget time before any post is possible.",2026-08-27
-1001398206938,Loop. Помощь и обсуждение,https://t.me/LoopAPS,Supergroup,cgm,A,NO - join first,3005,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"Russian-language community for the Loop artificial-pancreas system. Technical, DIY, and exactly the audience that understands what a forecasting benchmark is for.",2026-08-27
-1001145210700,DIABET OPEN,https://t.me/my_openaps,Supergroup,cgm,A,yes,2744,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,Anton is already a member. OpenAPS-oriented despite the general name. Same news-and-innovation framing as diabet_help and run by an adjacent admin team.,2026-08-27
-1001318079658,Диабет и спорт,https://t.me/dia_muscle,Supergroup,diabetes,A,yes,1720,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,Anton is already a member. Small but the sharpest fit for the strongest hook found in this whole sweep: deciding whether to eat before training IS the next-hour prediction problem.,2026-08-27
-1001196204972,Mila Insulin Chat,https://t.me/mila_insulin_chat,Supergroup,diabetes,B,yes,2693,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,Anton is already a member. Creator-run chat attached to a YouTube channel and funded by donations - approach the creator rather than posting cold.,2026-08-27
-1002064517743,ДІАБЕТ 2 тип Україна,https://t.me/diabet2UA,Supergroup,diabetes,B,NO - join first,314,,uk,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"Ukrainian T2D room. Small, but the study recruits both types and Ukrainian-language rooms are scarce.",2026-08-27
-1003372348120,Диабет | Диа сообщество | lekshop.info,https://t.me/diabet1112,Supergroup,diabetes,C,yes,6246,,ru,yes,,,UNVERIFIED - read the pinned message and rules before posting,no,uncontacted,"Anton is already a member. Attached to a diabetes-supplies shop (lekshop.info) and built around swapping medicines and goods - commercial context, so a study link sits oddly. Listed for completeness.",2026-08-27
