venue_id,name,type,city,country,audience,language,url,contact,relevance,format,timing,why_relevant,suggested_ask,souvenirs,status,notes
ws-medicalis-cluj,Medicalis - International Congress for Students and Young Doctors,student-congress,Cluj-Napoca,RO,"Medical students and junior doctors, 500+ per edition",ro/en,https://www.facebook.com/medicaliscluj/,,A,congress-workshop,"Annual, March. 26th edition ran 12-15 March 2026. Next window spring 2027 - watch the page from autumn 2026","Over 25 years old, hosted by UMF Iuliu Hatieganu, accredited, and its programme is built around practical workshops rather than lectures only. The audience is 18+ students with no diabetes - exactly the control arm the protocol needs 100 of","Submit a 60-90 minute hands-on workshop: everyone plays a full Sugar-Sugar session on their own laptop or phone, then we put the room's MAE against the GlucoBench 60-minute figures on one slide. 3D-printed prize for the best predictor in the room",yes,uncontacted,Verified via UMF Cluj and Viata Medicala coverage 2026. No workshop-submission email found on the public pages - route through UMF Cluj student office or the Medicalis Facebook page
ws-imscb-bucuresti,IMSCB - International Medical Students' Congress of Bucharest,student-congress,Bucharest,RO,"Medical students, international; biggest student congress in Romania",en,https://imscbucharest.com/,,A,congress-workshop,Annual. Run by SSMB under UMFCD patronage - check imscbucharest.com/schedule for the next edition,"Explicitly states it runs workshops, roundtables and a science fair and wants participants to build practical skills and critical thinking. A prediction game that ends in a measured error score is a critical-thinking exercise with a number at the end","Propose a workshop plus a science-fair table: the workshop is the guided play, the table runs all day with a laptop, a leaderboard and the printed souvenirs",yes,uncontacted,"Organised by SSMB (see ws-ssmb-zem) - one approach to SSMB can cover both. English-language congress, so Livia's English deck works unchanged"
ws-medis-timisoara,MEDIS - International Medical Congress for Students and Young Doctors of Timisoara,student-congress,Timisoara,RO,Medical students and young doctors,ro/en,https://www.umft.ro/event/the-international-medical-congress-for-students-and-young-doctors-of-timisoara-medis26-april-22-26-2026/,,A,congress-workshop,"Annual, April. MEDIS26 ran 22-26 April 2026. Next window spring 2027","Timisoara is also where the 2026 national diabetes congress was held and where the UMFT diabetes department sits, so one trip can cover the student congress and the department","Workshop proposal to the MEDIS organising team, paired with a guest-lecture request to the UMFT diabetes department in the same week",yes,uncontacted,Pair with ws-umft-diabet. Announced through the UMFT events page
ws-medicis-iasi,MEDICIS - International Francophone Congress of Medicine and Dentistry for Students and Young Doctors,student-congress,Iasi,RO,"1500+ students and young doctors, 300+ lecturers from 20+ countries",fr,https://congresmedicis.com/,,B,congress-workshop,"Annual, March. 2nd edition 25-29 March 2026. Next window spring 2027","The largest student audience found in Romania by headcount. The catch is the language: it is a francophone congress, and the study UI has French but our speaker does not present in French",Only worth pursuing if a French-language session is realistic. Otherwise ask AMSFI (the organising association) to run the game as a corridor activity rather than a talk,yes,uncontacted,Organised by AMSFI with UMF Grigore T. Popa Iasi. Verified via news.umfiasi.ro 2026. Language is the blocker - record the decision before spending time here
ws-kronmed-brasov,KronMed - National Congress for Students and Young Doctors,student-congress,Brasov,RO,Medical students and young doctors,ro,https://www.kronmed.org/,,B,congress-workshop,"Annual, March. 6th edition 27-29 March 2026. Next window spring 2027","Smaller and younger than Medicalis or IMSCB, which usually means an organising team that is easier to reach and more willing to take an unusual session","Offer the workshop as a slot they can advertise: a browser game, no equipment needed, everyone leaves with a number and a printed object",yes,uncontacted,Smallest of the Romanian student congresses catalogued - good place to run the workshop for the first time before pitching the bigger ones
ws-medespera-chisinau,MedEspera - International Medical Congress for Students and Young Doctors,student-congress,Chisinau,MD,"Students, PhD students and young doctors; 74 workshops in the 2026 programme",ro/en,https://medespera.md/,medespera@usmf.md; +373 69 692 121,A,congress-workshop,"Biennial-to-annual, May. 11th edition 6-8 May 2026, theme ""Building a New Era of Medicine with AI""","The 2026 theme was medicine and AI, the working language includes Romanian, and the programme carried 74 workshops - a congress that already schedules this format at scale. Moldova is a short trip and the audience is Romanian-speaking","Email medespera@usmf.md asking how workshops are selected for the next edition, and propose the play-and-measure session under the AI theme",yes,uncontacted,The only row in this file with a published organiser email for workshops. Organised by USMF Nicolae Testemitanu with the Association of Medical Students and Residents of Moldova
ws-beng-iasi,Conferinta Nationala de Bioinginerie pentru Studenti si Tineri Cercetatori (BENG),student-congress,Iasi,RO,Bioengineering students and young researchers,ro,https://www.umfiasi.ro/,,A,congress-workshop,"Annual, May. 28th edition 6-10 May 2026, five days with a dedicated workshop track","Bioengineering students are the one Romanian student audience that can take both halves of the offer: play the study, and then sit through an honest lecture on time-series forecasting and why a human baseline matters for evaluating a model",Propose the double bill - a play session plus the time-series ML lecture - to the Association of Bioengineering Students and the Faculty of Medical Bioengineering at UMF Grigore T. Popa,yes,uncontacted,"Organised by the bioengineering student association under the Faculty of Medical Bioengineering, UMF Iasi. This is the best single fit in the file for the ML-teaching half of the offer"
ws-ssmb-zem,SSMB - Zilele Educatiei Medicale (Medical Education Days),student-org,Bucharest,RO,"~700 medical students per edition, 63 events in 2026",ro,https://ssmb.ro/,,A,workshop,"Annual, March. 19th edition 13-22 March 2026. Next window March 2027","Ten days of nothing but workshops, conferences and medical debates - a programme designed to absorb exactly the session we want to run, and the organiser also runs IMSCB","One approach to SSMB covering both ZEM and IMSCB: a workshop slot in ZEM as the trial run, the IMSCB science fair as the follow-up",yes,uncontacted,"Founded 1875, represents Faculty of Medicine students at UMF Carol Davila. Contact page at ssmb.ro/contact did not expose an address on fetch - get the email from the contact page or the partners page in a browser"
ws-fasmr,FASMR - Federatia Asociatiilor Studentilor in Medicina din Romania,student-org,Bucharest (national),RO,Medical students across 8 Romanian university centres,ro,https://fasmr.ro/,,A,workshop,Year-round; national campaigns and general assemblies,"The federation layer above the local societies. One agreement here reaches Bucharest, Cluj, Iasi, Timisoara, Targu Mures, Craiova, Constanta and Brasov instead of eight separate negotiations","Ask FASMR to carry the workshop as a repeatable module its member associations can each book, rather than asking for one event",yes,uncontacted,"Membership figures differ between public sources (over 10,000 in one, over 24,000 in another) - do not quote a number until it is verified. The current site is a placeholder shell on fetch; old.fasmr.ro carries the descriptive pages"
ws-lstgm-targu-mures,Liga Studentilor din Targu Mures (FASMR member),student-org,Targu Mures,RO,Medical students in Targu Mures,ro,https://www.lstgm.ro/fasmr/,,B,workshop,Academic year,"A named local FASMR member with its own site, in the same city as ASCOTID - a single trip could do a student workshop and a patient-association session",Offer the workshop as a student-society evening; ask in the same message whether they co-run anything with ASCOTID Mures,yes,uncontacted,Pair with the ascotid-ro row in diabetes-orgs-catalogue.csv
